,description,industry,level,size,line_code,value
1928,Level of difficulty to raise equity finance: very easy,total,0,2049 employees,D0700.01,159
1929,Level of difficulty to raise equity finance: very easy,total,0,5099 employees,D0700.01,42
1930,Level of difficulty to raise equity finance: very easy,total,0,100+ employees,D0700.01,27
1931,Level of difficulty to raise equity finance: very easy,"Agriculture, forestry, & fishing",1,total,D0700.01,45
1932,Level of difficulty to raise equity finance: very easy,Agriculture,2,total,D0700.01,30
1933,Level of difficulty to raise equity finance: very easy,Commercial fishing,2,total,D0700.01,0
1934,Level of difficulty to raise equity finance: very easy,Forestry & logging,2,total,D0700.01,15
1935,Level of difficulty to raise equity finance: very easy,"Agriculture, forestry, & fishing support services",2,total,D0700.01,0
1936,Level of difficulty to raise equity finance: very easy,Mining,1,total,D0700.01,6
1937,Level of difficulty to raise equity finance: very easy,Manufacturing,1,total,D0700.01,102
1938,Level of difficulty to raise equity finance: very easy,"Food, beverage, & tobacco",2,total,D0700.01,24
1939,Level of difficulty to raise equity finance: very easy,"Textile, clothing, footwear, & leather",2,total,D0700.01,0
1940,Level of difficulty to raise equity finance: very easy,Wood & paper product,2,total,D0700.01,0
1941,Level of difficulty to raise equity finance: very easy,"Printing, publishing, & recorded media",2,total,D0700.01,3
1942,Level of difficulty to raise equity finance: very easy,"Petroleum, coal, chemical, & associated product",2,total,D0700.01,9
1943,Level of difficulty to raise equity finance: very easy,Non-metallic mineral product,2,total,D0700.01,9
1944,Level of difficulty to raise equity finance: very easy,Metal product,2,total,D0700.01,36
1945,Level of difficulty to raise equity finance: very easy,Transport and industrial machinery & equipment,2,total,D0700.01,18
1946,Level of difficulty to raise equity finance: very easy,Other machinery & equipment,2,total,D0700.01,0
1947,Level of difficulty to raise equity finance: very easy,Other manufacturing,2,total,D0700.01,3
1948,Level of difficulty to raise equity finance: very easy,"Electricity, gas, water, & waste services",1,total,D0700.01,3
1949,Level of difficulty to raise equity finance: very easy,Construction,1,total,D0700.01,288
1950,Level of difficulty to raise equity finance: very easy,Wholesale trade,1,total,D0700.01,12
1951,Level of difficulty to raise equity finance: very easy,Machinery & equipment wholesaling,2,total,D0700.01,0
1952,Level of difficulty to raise equity finance: very easy,Other wholesale trade,2,total,D0700.01,9
1953,Level of difficulty to raise equity finance: very easy,Retail trade,1,total,D0700.01,3
1954,Level of difficulty to raise equity finance: very easy,Accommodation & food services,1,total,D0700.01,6
1955,Level of difficulty to raise equity finance: very easy,"Transport, postal, & warehousing",1,total,D0700.01,66
1956,Level of difficulty to raise equity finance: very easy,Information media & telecommunications,1,total,D0700.01,9
1957,Level of difficulty to raise equity finance: very easy,Publishing,2,total,D0700.01,6
1958,Level of difficulty to raise equity finance: very easy,Motion picture,2,total,D0700.01,0
1959,Level of difficulty to raise equity finance: very easy,Telecommunications,2,total,D0700.01,3
1960,Level of difficulty to raise equity finance: very easy,Financial & insurance services,1,total,D0700.01,0
1961,Level of difficulty to raise equity finance: very easy,Finance,2,total,D0700.01,0
1962,Level of difficulty to raise equity finance: very easy,Insurance,2,total,D0700.01,0
1963,Level of difficulty to raise equity finance: very easy,Auxiliary,2,total,D0700.01,3
1964,Level of difficulty to raise equity finance: very easy,"Rental, hiring, & real estate services",1,total,D0700.01,18
1965,Level of difficulty to raise equity finance: very easy,"Professional, scientific, & technical services",1,total,D0700.01,33
1966,Level of difficulty to raise equity finance: very easy,Computer systems design,2,total,D0700.01,9
1967,Level of difficulty to raise equity finance: very easy,Other professional scientific,2,total,D0700.01,27
1968,Level of difficulty to raise equity finance: very easy,Administrative & support services,1,total,D0700.01,0
1969,Level of difficulty to raise equity finance: very easy,Education & training,1,total,D0700.01,3
1970,Level of difficulty to raise equity finance: very easy,Health care & social assistance,1,total,D0700.01,60
1971,Level of difficulty to raise equity finance: very easy,Arts & recreation services,1,total,D0700.01,12
1972,Level of difficulty to raise equity finance: very easy,Other services,1,total,D0700.01,15
1973,Level of difficulty to raise equity finance: very easy,total,0,total,D0700.01,687
1974,Level of difficulty to raise equity finance: easy,total,0,619 employees,D0700.02,846
1975,Level of difficulty to raise equity finance: easy,total,0,2049 employees,D0700.02,150
1976,Level of difficulty to raise equity finance: easy,total,0,5099 employees,D0700.02,60
1977,Level of difficulty to raise equity finance: easy,total,0,100+ employees,D0700.02,48
1978,Level of difficulty to raise equity finance: easy,"Agriculture, forestry, & fishing",1,total,D0700.02,117
1979,Level of difficulty to raise equity finance: easy,Agriculture,2,total,D0700.02,87
1980,Level of difficulty to raise equity finance: easy,Commercial fishing,2,total,D0700.02,3
1981,Level of difficulty to raise equity finance: easy,Forestry & logging,2,total,D0700.02,6
1982,Level of difficulty to raise equity finance: easy,"Agriculture, forestry, & fishing support services",2,total,D0700.02,24
1983,Level of difficulty to raise equity finance: easy,Mining,1,total,D0700.02,0
1984,Level of difficulty to raise equity finance: easy,Manufacturing,1,total,D0700.02,156
1985,Level of difficulty to raise equity finance: easy,"Food, beverage, & tobacco",2,total,D0700.02,18
1986,Level of difficulty to raise equity finance: easy,"Textile, clothing, footwear, & leather",2,total,D0700.02,6
1987,Level of difficulty to raise equity finance: easy,Wood & paper product,2,total,D0700.02,27
1988,Level of difficulty to raise equity finance: easy,"Printing, publishing, & recorded media",2,total,D0700.02,9
1989,Level of difficulty to raise equity finance: easy,"Petroleum, coal, chemical, & associated product",2,total,D0700.02,12
1990,Level of difficulty to raise equity finance: easy,Non-metallic mineral product,2,total,D0700.02,12
1991,Level of difficulty to raise equity finance: easy,Metal product,2,total,D0700.02,51
1992,Level of difficulty to raise equity finance: easy,Transport and industrial machinery & equipment,2,total,D0700.02,12
1993,Level of difficulty to raise equity finance: easy,Other machinery & equipment,2,total,D0700.02,6
1994,Level of difficulty to raise equity finance: easy,Other manufacturing,2,total,D0700.02,3
1995,Level of difficulty to raise equity finance: easy,"Electricity, gas, water, & waste services",1,total,D0700.02,3
1996,Level of difficulty to raise equity finance: easy,Construction,1,total,D0700.02,342
1997,Level of difficulty to raise equity finance: easy,Wholesale trade,1,total,D0700.02,42
1998,Level of difficulty to raise equity finance: easy,Machinery & equipment wholesaling,2,total,D0700.02,15
1999,Level of difficulty to raise equity finance: easy,Other wholesale trade,2,total,D0700.02,24
2000,Level of difficulty to raise equity finance: easy,Retail trade,1,total,D0700.02,54
2001,Level of difficulty to raise equity finance: easy,Accommodation & food services,1,total,D0700.02,93
2002,Level of difficulty to raise equity finance: easy,"Transport, postal, & warehousing",1,total,D0700.02,72
2003,Level of difficulty to raise equity finance: easy,Information media & telecommunications,1,total,D0700.02,9
2004,Level of difficulty to raise equity finance: easy,Publishing,2,total,D0700.02,3
2005,Level of difficulty to raise equity finance: easy,Motion picture,2,total,D0700.02,0
2006,Level of difficulty to raise equity finance: easy,Telecommunications,2,total,D0700.02,0
2007,Level of difficulty to raise equity finance: easy,Financial & insurance services,1,total,D0700.02,21
2008,Level of difficulty to raise equity finance: easy,Finance,2,total,D0700.02,3
2009,Level of difficulty to raise equity finance: easy,Insurance,2,total,D0700.02,0
2010,Level of difficulty to raise equity finance: easy,Auxiliary,2,total,D0700.02,18
2011,Level of difficulty to raise equity finance: easy,"Rental, hiring, & real estate services",1,total,D0700.02,9
2012,Level of difficulty to raise equity finance: easy,"Professional, scientific, & technical services",1,total,D0700.02,114
2013,Level of difficulty to raise equity finance: easy,Computer systems design,2,total,D0700.02,30
2014,Level of difficulty to raise equity finance: easy,Other professional scientific,2,total,D0700.02,87
2015,Level of difficulty to raise equity finance: easy,Administrative & support services,1,total,D0700.02,15
2016,Level of difficulty to raise equity finance: easy,Education & training,1,total,D0700.02,6
2017,Level of difficulty to raise equity finance: easy,Health care & social assistance,1,total,D0700.02,45
2018,Level of difficulty to raise equity finance: easy,Arts & recreation services,1,total,D0700.02,0
2019,Level of difficulty to raise equity finance: easy,Other services,1,total,D0700.02,3
2020,Level of difficulty to raise equity finance: easy,total,0,total,D0700.02,1104
2021,Level of difficulty to raise equity finance: neither easy nor hard,total,0,619 employees,D0700.03,1518
2022,Level of difficulty to raise equity finance: neither easy nor hard,total,0,2049 employees,D0700.03,507
2023,Level of difficulty to raise equity finance: neither easy nor hard,total,0,5099 employees,D0700.03,114
2024,Level of difficulty to raise equity finance: neither easy nor hard,total,0,100+ employees,D0700.03,90
2025,Level of difficulty to raise equity finance: neither easy nor hard,"Agriculture, forestry, & fishing",1,total,D0700.03,192
2026,Level of difficulty to raise equity finance: neither easy nor hard,Agriculture,2,total,D0700.03,114
2027,Level of difficulty to raise equity finance: neither easy nor hard,Commercial fishing,2,total,D0700.03,0
2028,Level of difficulty to raise equity finance: neither easy nor hard,Forestry & logging,2,total,D0700.03,24
2029,Level of difficulty to raise equity finance: neither easy nor hard,"Agriculture, forestry, & fishing support services",2,total,D0700.03,54
2030,Level of difficulty to raise equity finance: neither easy nor hard,Mining,1,total,D0700.03,6
2031,Level of difficulty to raise equity finance: neither easy nor hard,Manufacturing,1,total,D0700.03,282
2032,Level of difficulty to raise equity finance: neither easy nor hard,"Food, beverage, & tobacco",2,total,D0700.03,75
2033,Level of difficulty to raise equity finance: neither easy nor hard,"Textile, clothing, footwear, & leather",2,total,D0700.03,6
2034,Level of difficulty to raise equity finance: neither easy nor hard,Wood & paper product,2,total,D0700.03,24
2035,Level of difficulty to raise equity finance: neither easy nor hard,"Printing, publishing, & recorded media",2,total,D0700.03,6
2036,Level of difficulty to raise equity finance: neither easy nor hard,"Petroleum, coal, chemical, & associated product",2,total,D0700.03,18
2037,Level of difficulty to raise equity finance: neither easy nor hard,Non-metallic mineral product,2,total,D0700.03,6
2038,Level of difficulty to raise equity finance: neither easy nor hard,Metal product,2,total,D0700.03,60
2039,Level of difficulty to raise equity finance: neither easy nor hard,Transport and industrial machinery & equipment,2,total,D0700.03,54
2040,Level of difficulty to raise equity finance: neither easy nor hard,Other machinery & equipment,2,total,D0700.03,18
2041,Level of difficulty to raise equity finance: neither easy nor hard,Other manufacturing,2,total,D0700.03,12
2042,Level of difficulty to raise equity finance: neither easy nor hard,"Electricity, gas, water, & waste services",1,total,D0700.03,15
2043,Level of difficulty to raise equity finance: neither easy nor hard,Construction,1,total,D0700.03,204
2044,Level of difficulty to raise equity finance: neither easy nor hard,Wholesale trade,1,total,D0700.03,132
2045,Level of difficulty to raise equity finance: neither easy nor hard,Machinery & equipment wholesaling,2,total,D0700.03,12
2046,Level of difficulty to raise equity finance: neither easy nor hard,Other wholesale trade,2,total,D0700.03,120
2047,Level of difficulty to raise equity finance: neither easy nor hard,Retail trade,1,total,D0700.03,159
2048,Level of difficulty to raise equity finance: neither easy nor hard,Accommodation & food services,1,total,D0700.03,510
2049,Level of difficulty to raise equity finance: neither easy nor hard,"Transport, postal, & warehousing",1,total,D0700.03,87
2050,Level of difficulty to raise equity finance: neither easy nor hard,Information media & telecommunications,1,total,D0700.03,27
2051,Level of difficulty to raise equity finance: neither easy nor hard,Publishing,2,total,D0700.03,6
2052,Level of difficulty to raise equity finance: neither easy nor hard,Motion picture,2,total,D0700.03,9
2053,Level of difficulty to raise equity finance: neither easy nor hard,Telecommunications,2,total,D0700.03,6
2054,Level of difficulty to raise equity finance: neither easy nor hard,Financial & insurance services,1,total,D0700.03,54
2055,Level of difficulty to raise equity finance: neither easy nor hard,Finance,2,total,D0700.03,15
2056,Level of difficulty to raise equity finance: neither easy nor hard,Insurance,2,total,D0700.03,3
2057,Level of difficulty to raise equity finance: neither easy nor hard,Auxiliary,2,total,D0700.03,36
2058,Level of difficulty to raise equity finance: neither easy nor hard,"Rental, hiring, & real estate services",1,total,D0700.03,45
2059,Level of difficulty to raise equity finance: neither easy nor hard,"Professional, scientific, & technical services",1,total,D0700.03,219
2060,Level of difficulty to raise equity finance: neither easy nor hard,Computer systems design,2,total,D0700.03,60
2061,Level of difficulty to raise equity finance: neither easy nor hard,Other professional scientific,2,total,D0700.03,159
2062,Level of difficulty to raise equity finance: neither easy nor hard,Administrative & support services,1,total,D0700.03,57
2063,Level of difficulty to raise equity finance: neither easy nor hard,Education & training,1,total,D0700.03,78
2064,Level of difficulty to raise equity finance: neither easy nor hard,Health care & social assistance,1,total,D0700.03,66
2065,Level of difficulty to raise equity finance: neither easy nor hard,Arts & recreation services,1,total,D0700.03,15
2066,Level of difficulty to raise equity finance: neither easy nor hard,Other services,1,total,D0700.03,81
2067,Level of difficulty to raise equity finance: neither easy nor hard,total,0,total,D0700.03,2232
2068,Level of difficulty to raise equity finance: hard,total,0,619 employees,D0700.04,717
2069,Level of difficulty to raise equity finance: hard,total,0,2049 employees,D0700.04,246
2070,Level of difficulty to raise equity finance: hard,total,0,5099 employees,D0700.04,54
2071,Level of difficulty to raise equity finance: hard,total,0,100+ employees,D0700.04,24
2072,Level of difficulty to raise equity finance: hard,"Agriculture, forestry, & fishing",1,total,D0700.04,60
2073,Level of difficulty to raise equity finance: hard,Agriculture,2,total,D0700.04,42
2074,Level of difficulty to raise equity finance: hard,Commercial fishing,2,total,D0700.04,0
2075,Level of difficulty to raise equity finance: hard,Forestry & logging,2,total,D0700.04,3
2076,Level of difficulty to raise equity finance: hard,"Agriculture, forestry, & fishing support services",2,total,D0700.04,15
2077,Level of difficulty to raise equity finance: hard,Mining,1,total,D0700.04,3
2078,Level of difficulty to raise equity finance: hard,Manufacturing,1,total,D0700.04,114
2079,Level of difficulty to raise equity finance: hard,"Food, beverage, & tobacco",2,total,D0700.04,30
2080,Level of difficulty to raise equity finance: hard,"Textile, clothing, footwear, & leather",2,total,D0700.04,3
2081,Level of difficulty to raise equity finance: hard,Wood & paper product,2,total,D0700.04,9
2082,Level of difficulty to raise equity finance: hard,"Printing, publishing, & recorded media",2,total,D0700.04,0
2083,Level of difficulty to raise equity finance: hard,"Petroleum, coal, chemical, & associated product",2,total,D0700.04,6
2084,Level of difficulty to raise equity finance: hard,Non-metallic mineral product,2,total,D0700.04,9
2085,Level of difficulty to raise equity finance: hard,Metal product,2,total,D0700.04,15
2086,Level of difficulty to raise equity finance: hard,Transport and industrial machinery & equipment,2,total,D0700.04,24
2087,Level of difficulty to raise equity finance: hard,Other machinery & equipment,2,total,D0700.04,9
2088,Level of difficulty to raise equity finance: hard,Other manufacturing,2,total,D0700.04,15
2089,Level of difficulty to raise equity finance: hard,"Electricity, gas, water, & waste services",1,total,D0700.04,3
2090,Level of difficulty to raise equity finance: hard,Construction,1,total,D0700.04,159
2091,Level of difficulty to raise equity finance: hard,Wholesale trade,1,total,D0700.04,63
2092,Level of difficulty to raise equity finance: hard,Machinery & equipment wholesaling,2,total,D0700.04,6
2093,Level of difficulty to raise equity finance: hard,Other wholesale trade,2,total,D0700.04,54
2094,Level of difficulty to raise equity finance: hard,Retail trade,1,total,D0700.04,129
2095,Level of difficulty to raise equity finance: hard,Accommodation & food services,1,total,D0700.04,195
2096,Level of difficulty to raise equity finance: hard,"Transport, postal, & warehousing",1,total,D0700.04,54
2097,Level of difficulty to raise equity finance: hard,Information media & telecommunications,1,total,D0700.04,3
2098,Level of difficulty to raise equity finance: hard,Publishing,2,total,D0700.04,0
2099,Level of difficulty to raise equity finance: hard,Motion picture,2,total,D0700.04,0
2100,Level of difficulty to raise equity finance: hard,Telecommunications,2,total,D0700.04,0
2101,Level of difficulty to raise equity finance: hard,Financial & insurance services,1,total,D0700.04,18
2102,Level of difficulty to raise equity finance: hard,Finance,2,total,D0700.04,6
2103,Level of difficulty to raise equity finance: hard,Insurance,2,total,D0700.04,0
2104,Level of difficulty to raise equity finance: hard,Auxiliary,2,total,D0700.04,15
2105,Level of difficulty to raise equity finance: hard,"Rental, hiring, & real estate services",1,total,D0700.04,6
2106,Level of difficulty to raise equity finance: hard,"Professional, scientific, & technical services",1,total,D0700.04,117
2107,Level of difficulty to raise equity finance: hard,Computer systems design,2,total,D0700.04,30
2108,Level of difficulty to raise equity finance: hard,Other professional scientific,2,total,D0700.04,90
2109,Level of difficulty to raise equity finance: hard,Administrative & support services,1,total,D0700.04,12
2110,Level of difficulty to raise equity finance: hard,Education & training,1,total,D0700.04,21
2111,Level of difficulty to raise equity finance: hard,Health care & social assistance,1,total,D0700.04,39
2112,Level of difficulty to raise equity finance: hard,Arts & recreation services,1,total,D0700.04,6
2113,Level of difficulty to raise equity finance: hard,Other services,1,total,D0700.04,33
2114,Level of difficulty to raise equity finance: hard,total,0,total,D0700.04,1041
2115,Level of difficulty to raise equity finance: very hard,total,0,619 employees,D0700.05,846
2116,Level of difficulty to raise equity finance: very hard,total,0,2049 employees,D0700.05,225
2117,Level of difficulty to raise equity finance: very hard,total,0,5099 employees,D0700.05,33
2118,Level of difficulty to raise equity finance: very hard,total,0,100+ employees,D0700.05,15
2119,Level of difficulty to raise equity finance: very hard,"Agriculture, forestry, & fishing",1,total,D0700.05,33
2120,Level of difficulty to raise equity finance: very hard,Agriculture,2,total,D0700.05,9
2121,Level of difficulty to raise equity finance: very hard,Commercial fishing,2,total,D0700.05,0
2122,Level of difficulty to raise equity finance: very hard,Forestry & logging,2,total,D0700.05,6
2123,Level of difficulty to raise equity finance: very hard,"Agriculture, forestry, & fishing support services",2,total,D0700.05,21
2124,Level of difficulty to raise equity finance: very hard,Mining,1,total,D0700.05,3
2125,Level of difficulty to raise equity finance: very hard,Manufacturing,1,total,D0700.05,123
2126,Level of difficulty to raise equity finance: very hard,"Food, beverage, & tobacco",2,total,D0700.05,69
2127,Level of difficulty to raise equity finance: very hard,"Textile, clothing, footwear, & leather",2,total,D0700.05,9
2128,Level of difficulty to raise equity finance: very hard,Wood & paper product,2,total,D0700.05,18
2129,Level of difficulty to raise equity finance: very hard,"Printing, publishing, & recorded media",2,total,D0700.05,0
2130,Level of difficulty to raise equity finance: very hard,"Petroleum, coal, chemical, & associated product",2,total,D0700.05,0
2131,Level of difficulty to raise equity finance: very hard,Non-metallic mineral product,2,total,D0700.05,0
2132,Level of difficulty to raise equity finance: very hard,Metal product,2,total,D0700.05,3
2133,Level of difficulty to raise equity finance: very hard,Transport and industrial machinery & equipment,2,total,D0700.05,18
2134,Level of difficulty to raise equity finance: very hard,Other machinery & equipment,2,total,D0700.05,3
2135,Level of difficulty to raise equity finance: very hard,Other manufacturing,2,total,D0700.05,0
2136,Level of difficulty to raise equity finance: very hard,"Electricity, gas, water, & waste services",1,total,D0700.05,3
2137,Level of difficulty to raise equity finance: very hard,Construction,1,total,D0700.05,129
2138,Level of difficulty to raise equity finance: very hard,Wholesale trade,1,total,D0700.05,63
2139,Level of difficulty to raise equity finance: very hard,Machinery & equipment wholesaling,2,total,D0700.05,9
2140,Level of difficulty to raise equity finance: very hard,Other wholesale trade,2,total,D0700.05,54
2141,Level of difficulty to raise equity finance: very hard,Retail trade,1,total,D0700.05,132
2142,Level of difficulty to raise equity finance: very hard,Accommodation & food services,1,total,D0700.05,318
2143,Level of difficulty to raise equity finance: very hard,"Transport, postal, & warehousing",1,total,D0700.05,15
2144,Level of difficulty to raise equity finance: very hard,Information media & telecommunications,1,total,D0700.05,6
2145,Level of difficulty to raise equity finance: very hard,Publishing,2,total,D0700.05,0
2146,Level of difficulty to raise equity finance: very hard,Motion picture,2,total,D0700.05,0
2147,Level of difficulty to raise equity finance: very hard,Telecommunications,2,total,D0700.05,3
2148,Level of difficulty to raise equity finance: very hard,Financial & insurance services,1,total,D0700.05,0
2149,Level of difficulty to raise equity finance: very hard,Finance,2,total,D0700.05,3
2150,Level of difficulty to raise equity finance: very hard,Insurance,2,total,D0700.05,0
2151,Level of difficulty to raise equity finance: very hard,Auxiliary,2,total,D0700.05,0
2152,Level of difficulty to raise equity finance: very hard,"Rental, hiring, & real estate services",1,total,D0700.05,12
2153,Level of difficulty to raise equity finance: very hard,"Professional, scientific, & technical services",1,total,D0700.05,45
2154,Level of difficulty to raise equity finance: very hard,Computer systems design,2,total,D0700.05,21
2155,Level of difficulty to raise equity finance: very hard,Other professional scientific,2,total,D0700.05,27
2156,Level of difficulty to raise equity finance: very hard,Administrative & support services,1,total,D0700.05,36
2157,Level of difficulty to raise equity finance: very hard,Education & training,1,total,D0700.05,48
2158,Level of difficulty to raise equity finance: very hard,Health care & social assistance,1,total,D0700.05,84
2159,Level of difficulty to raise equity finance: very hard,Arts & recreation services,1,total,D0700.05,0
2160,Level of difficulty to raise equity finance: very hard,Other services,1,total,D0700.05,63
2161,Level of difficulty to raise equity finance: very hard,total,0,total,D0700.05,1122
2162,Level of difficulty to raise equity finance: don't know,total,0,619 employees,D0700.06,3078
2163,Level of difficulty to raise equity finance: don't know,total,0,2049 employees,D0700.06,585
2164,Level of difficulty to raise equity finance: don't know,total,0,5099 employees,D0700.06,168
2165,Level of difficulty to raise equity finance: don't know,total,0,100+ employees,D0700.06,120
2166,Level of difficulty to raise equity finance: don't know,"Agriculture, forestry, & fishing",1,total,D0700.06,384
2167,Level of difficulty to raise equity finance: don't know,Agriculture,2,total,D0700.06,279
2168,Level of difficulty to raise equity finance: don't know,Commercial fishing,2,total,D0700.06,3
2169,Level of difficulty to raise equity finance: don't know,Forestry & logging,2,total,D0700.06,12
2170,Level of difficulty to raise equity finance: don't know,"Agriculture, forestry, & fishing support services",2,total,D0700.06,90
2171,Level of difficulty to raise equity finance: don't know,Mining,1,total,D0700.06,9
2172,Level of difficulty to raise equity finance: don't know,Manufacturing,1,total,D0700.06,330
2173,Level of difficulty to raise equity finance: don't know,"Food, beverage, & tobacco",2,total,D0700.06,72
2174,Level of difficulty to raise equity finance: don't know,"Textile, clothing, footwear, & leather",2,total,D0700.06,15
2175,Level of difficulty to raise equity finance: don't know,Wood & paper product,2,total,D0700.06,21
2176,Level of difficulty to raise equity finance: don't know,"Printing, publishing, & recorded media",2,total,D0700.06,15
2177,Level of difficulty to raise equity finance: don't know,"Petroleum, coal, chemical, & associated product",2,total,D0700.06,33
2178,Level of difficulty to raise equity finance: don't know,Non-metallic mineral product,2,total,D0700.06,9
2179,Level of difficulty to raise equity finance: don't know,Metal product,2,total,D0700.06,96
2180,Level of difficulty to raise equity finance: don't know,Transport and industrial machinery & equipment,2,total,D0700.06,36
2181,Level of difficulty to raise equity finance: don't know,Other machinery & equipment,2,total,D0700.06,12
2182,Level of difficulty to raise equity finance: don't know,Other manufacturing,2,total,D0700.06,21
2183,Level of difficulty to raise equity finance: don't know,"Electricity, gas, water, & waste services",1,total,D0700.06,18
2184,Level of difficulty to raise equity finance: don't know,Construction,1,total,D0700.06,330
2185,Level of difficulty to raise equity finance: don't know,Wholesale trade,1,total,D0700.06,216
2186,Level of difficulty to raise equity finance: don't know,Machinery & equipment wholesaling,2,total,D0700.06,69
2187,Level of difficulty to raise equity finance: don't know,Other wholesale trade,2,total,D0700.06,144
2188,Level of difficulty to raise equity finance: don't know,Retail trade,1,total,D0700.06,393
2189,Level of difficulty to raise equity finance: don't know,Accommodation & food services,1,total,D0700.06,831
2190,Level of difficulty to raise equity finance: don't know,"Transport, postal, & warehousing",1,total,D0700.06,147
2191,Level of difficulty to raise equity finance: don't know,Information media & telecommunications,1,total,D0700.06,27
2192,Level of difficulty to raise equity finance: don't know,Publishing,2,total,D0700.06,6
2193,Level of difficulty to raise equity finance: don't know,Motion picture,2,total,D0700.06,9
2194,Level of difficulty to raise equity finance: don't know,Telecommunications,2,total,D0700.06,12
2195,Level of difficulty to raise equity finance: don't know,Financial & insurance services,1,total,D0700.06,48
2196,Level of difficulty to raise equity finance: don't know,Finance,2,total,D0700.06,18
2197,Level of difficulty to raise equity finance: don't know,Insurance,2,total,D0700.06,6
2198,Level of difficulty to raise equity finance: don't know,Auxiliary,2,total,D0700.06,30
2199,Level of difficulty to raise equity finance: don't know,"Rental, hiring, & real estate services",1,total,D0700.06,114
2200,Level of difficulty to raise equity finance: don't know,"Professional, scientific, & technical services",1,total,D0700.06,363
2201,Level of difficulty to raise equity finance: don't know,Computer systems design,2,total,D0700.06,66
2202,Level of difficulty to raise equity finance: don't know,Other professional scientific,2,total,D0700.06,300
2203,Level of difficulty to raise equity finance: don't know,Administrative & support services,1,total,D0700.06,153
2204,Level of difficulty to raise equity finance: don't know,Education & training,1,total,D0700.06,57
2205,Level of difficulty to raise equity finance: don't know,Health care & social assistance,1,total,D0700.06,333
2206,Level of difficulty to raise equity finance: don't know,Arts & recreation services,1,total,D0700.06,51
2207,Level of difficulty to raise equity finance: don't know,Other services,1,total,D0700.06,141
2208,Level of difficulty to raise equity finance: don't know,total,0,total,D0700.06,3951
2209,Intention use of equity finance: purchase of land or buildings,total,0,619 employees,D0801,705
2210,Intention use of equity finance: purchase of land or buildings,total,0,2049 employees,D0801,138
2211,Intention use of equity finance: purchase of land or buildings,total,0,5099 employees,D0801,51
2212,Intention use of equity finance: purchase of land or buildings,total,0,100+ employees,D0801,27
2213,Intention use of equity finance: purchase of land or buildings,"Agriculture, forestry, & fishing",1,total,D0801,141
2214,Intention use of equity finance: purchase of land or buildings,Agriculture,2,total,D0801,102
2215,Intention use of equity finance: purchase of land or buildings,Commercial fishing,2,total,D0801,0
2216,Intention use of equity finance: purchase of land or buildings,Forestry & logging,2,total,D0801,6
2217,Intention use of equity finance: purchase of land or buildings,"Agriculture, forestry, & fishing support services",2,total,D0801,36
2218,Intention use of equity finance: purchase of land or buildings,Mining,1,total,D0801,0
2219,Intention use of equity finance: purchase of land or buildings,Manufacturing,1,total,D0801,75
2220,Intention use of equity finance: purchase of land or buildings,"Food, beverage, & tobacco",2,total,D0801,36
2221,Intention use of equity finance: purchase of land or buildings,"Textile, clothing, footwear, & leather",2,total,D0801,0
2222,Intention use of equity finance: purchase of land or buildings,Wood & paper product,2,total,D0801,6
2223,Intention use of equity finance: purchase of land or buildings,"Printing, publishing, & recorded media",2,total,D0801,0
2224,Intention use of equity finance: purchase of land or buildings,"Petroleum, coal, chemical, & associated product",2,total,D0801,6
2225,Intention use of equity finance: purchase of land or buildings,Non-metallic mineral product,2,total,D0801,3
2226,Intention use of equity finance: purchase of land or buildings,Metal product,2,total,D0801,6
2227,Intention use of equity finance: purchase of land or buildings,Transport and industrial machinery & equipment,2,total,D0801,12
2228,Intention use of equity finance: purchase of land or buildings,Other machinery & equipment,2,total,D0801,3
2229,Intention use of equity finance: purchase of land or buildings,Other manufacturing,2,total,D0801,6
2230,Intention use of equity finance: purchase of land or buildings,"Electricity, gas, water, & waste services",1,total,D0801,9
2231,Intention use of equity finance: purchase of land or buildings,Construction,1,total,D0801,225
2232,Intention use of equity finance: purchase of land or buildings,Wholesale trade,1,total,D0801,75
2233,Intention use of equity finance: purchase of land or buildings,Machinery & equipment wholesaling,2,total,D0801,3
2234,Intention use of equity finance: purchase of land or buildings,Other wholesale trade,2,total,D0801,69
2235,Intention use of equity finance: purchase of land or buildings,Retail trade,1,total,D0801,51
2236,Intention use of equity finance: purchase of land or buildings,Accommodation & food services,1,total,D0801,129
2237,Intention use of equity finance: purchase of land or buildings,"Transport, postal, & warehousing",1,total,D0801,39
2238,Intention use of equity finance: purchase of land or buildings,Information media & telecommunications,1,total,D0801,3
2239,Intention use of equity finance: purchase of land or buildings,Publishing,2,total,D0801,0
2240,Intention use of equity finance: purchase of land or buildings,Motion picture,2,total,D0801,0
2241,Intention use of equity finance: purchase of land or buildings,Telecommunications,2,total,D0801,0
2242,Intention use of equity finance: purchase of land or buildings,Financial & insurance services,1,total,D0801,6
2243,Intention use of equity finance: purchase of land or buildings,Finance,2,total,D0801,6
2244,Intention use of equity finance: purchase of land or buildings,Insurance,2,total,D0801,0
2245,Intention use of equity finance: purchase of land or buildings,Auxiliary,2,total,D0801,0
2246,Intention use of equity finance: purchase of land or buildings,"Rental, hiring, & real estate services",1,total,D0801,15
2247,Intention use of equity finance: purchase of land or buildings,"Professional, scientific, & technical services",1,total,D0801,18
2248,Intention use of equity finance: purchase of land or buildings,Computer systems design,2,total,D0801,3
